Tarea,Dificultad,Nombre,
1,5,Invetigar Metodo de Matrices,
2,4,Hacer tarea de Calculo,
3,3,Limpiar mi habitacion,
4,5,Hacer tarea de ,
5,2,Leer correos,
6,2,Responder correos,
7,2,Avanzar en proyecto ,
8,3,Ir a la tienda,
9,1,Dormir,
10,3,Comer,
11,4,Cambiar disco de pc,
12,1,Jugar videojuegos,
13,5,Estudiar Ingles,
14,5,Resolver guia de graficas y juegos,
15,4,Estudiar examen para algebra,
16,3,Aprender Java,
17,2,Aseo Personal,
18,3,Aprender Matlab,
19,1,Escuchar musica,
20,1, Cargar mi celular,
